seqid	species
FAZC12732	Mantella_expectata
FAZCE5	Mantella_expectata
FAZC12731	Mantella_expectata
FAZC12729	Mantella_expectata
FAZC12670	Mantella_expectata
FAZCE10	Mantella_expectata
FAZC12728	Mantella_expectata
FAZC12726	Mantella_expectata
FAZCE12	Mantella_expectata
FAZC12946	Mantella_expectata
FAZC12871	Mantella_expectata
FAZC12941	Mantella_expectata
FR69ZCMV870	Mantella_laevigata
FR134	Mantella_laevigata
FR79	Mantella_laevigata
FR32	Mantella_laevigata
FR136	Mantella_laevigata
FR285	Mantella_laevigata
FR80	Mantella_laevigata
FR65FGZC2760	Mantella_laevigata
FR135	Mantella_laevigata
FR60FGMV727	Mantella_ebenaui
FR61FGMV2002728	Mantella_ebenaui
FR53	Mantella_ebenaui
FR50	Mantella_ebenaui
ZCMV3384	Mantella_ebenaui
ZCMV3226	Mantella_ebenaui
ZCMV2513	Mantella_pulchra
ZCMV2487	Mantella_pulchra
ZCMV2488	Mantella_pulchra
ZCMV2489	Mantella_pulchra
ZCMV2490	Mantella_pulchra
ZCMV2509	Mantella_pulchra
ZCMV2481	Mantella_milotympanum
ZCMV2467	Mantella_milotympanum
ZCMV2466	Mantella_milotympanum
ZCMV2464	Mantella_milotympanum
ZCMV2463	Mantella_milotympanum
ZCMV2462	Mantella_milotympanum
ZCMV2461	Mantella_milotympanum
ZMA20289	Mantella_madagascariensis
ZMA20327	Mantella_madagascariensis
ZMA20328	Mantella_madagascariensis
ZMA20329	Mantella_madagascariensis
FGMV20020261	Mantella_madagascariensis
ZCMV0919	Mantella_madagascariensis
ZCMV0918	Mantella_madagascariensis
ZCMV0917	Mantella_madagascariensis
ZCMV0916	Mantella_madagascariensis
ZCMV0915	Mantella_madagascariensis
ZCMV1061	Mantella_madagascariensis
ZCMV1058	Mantella_madagascariensis
ZCMV1057	Mantella_madagascariensis
ZCMV1056	Mantella_madagascariensis
ZCMV1040	Mantella_crocea
ZCMV1039	Mantella_crocea
ZCMV1037	Mantella_crocea
ZCMV1036	Mantella_crocea
ZCMV1035	Mantella_crocea
ZCMV1034	Mantella_crocea
ZCMV1033	Mantella_crocea
ZCMV1032	Mantella_crocea
ZCMV1031	Mantella_crocea
ZCMV1030	Mantella_crocea
ZCMV1029	Mantella_crocea
ZCMV1028	Mantella_crocea
ZCMV1078	Mantella_crocea
ZCMV1086	Mantella_crocea
ZCMV1085	Mantella_crocea
ZCMV1079	Mantella_crocea
ZCMV1087	Mantella_crocea
ZCMV1080	Mantella_crocea
ZCMV104	Mantella_aurantiaca
ZCMV105	Mantella_aurantiaca
ZCMV106	Mantella_aurantiaca
ZCMV107	Mantella_aurantiaca
ZCMV108	Mantella_aurantiaca
ZCMV109	Mantella_aurantiaca
ZCMV110	Mantella_aurantiaca
ZCMV111	Mantella_aurantiaca
ZCMV407	Mantella_aurantiaca
ZCMV415	Mantella_aurantiaca
ZCMV408	Mantella_aurantiaca
ZCMV416	Mantella_aurantiaca
ZCMV409	Mantella_aurantiaca
ZCMV417	Mantella_aurantiaca
ZCMV401	Mantella_aurantiaca
ZCMV410	Mantella_aurantiaca
ZCMV418	Mantella_aurantiaca
ZCMV403	Mantella_aurantiaca
ZCMV411	Mantella_aurantiaca
ZCMV419	Mantella_aurantiaca
ZCMV404	Mantella_aurantiaca
ZCMV412	Mantella_aurantiaca
ZCMV420	Mantella_aurantiaca
ZCMV405	Mantella_aurantiaca
ZCMV413	Mantella_aurantiaca
ZCMV421	Mantella_aurantiaca
ZCMV406	Mantella_aurantiaca
ZCMV414	Mantella_aurantiaca
ZCMV422	Mantella_aurantiaca
FGMV20022057	Mantella_aurantiaca
